"DateTime","windcode","open","high","low","close","volume","amount","change","pctchange","begintime","endtime"
2019-05-22 14:39:00,000048.SZ,19.04,19.04,19.04,19.04,1600,30464,0.08,0.004219,201905221439.951996,201905221439.951996
2019-05-22 14:40:00,000048.SZ,19,19,19,19,1000,19000,-0.04,-0.002101,201905221440.951996,201905221440.951996
2019-05-22 14:41:00,000048.SZ,19,19,19,19,600,11400,0,0,201905221441.951996,201905221441.951996
2019-05-22 14:42:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:43:00,000048.SZ,19.04,19.04,19.04,19.04,600,11424,0.04,0.002105,201905221443.951996,201905221443.951996
2019-05-22 14:44:00,000048.SZ,19,19,19,19,1200,22805,-0.04,-0.002101,201905221444.951996,201905221444.951996
2019-05-22 14:45:00,000048.SZ,19.01,19.01,19.01,19.01,1300,24731,0.01,0.000526,201905221445.951996,201905221445.951996
2019-05-22 14:46:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:47:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:48:00,000048.SZ,19.01,19.01,19,19,3900,74105,-0.01,-0.000526,201905221448.951996,201905221448.951996
2019-05-22 14:49:00,000048.SZ,19.01,19.01,19.01,19.01,200,3802,0.01,0.000526,201905221449.951996,201905221449.951996
2019-05-22 14:50:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:51:00,000048.SZ,19,19,19,19,1500,28500,-0.01,-0.000526,201905221451.951996,201905221451.951996
2019-05-22 14:52:00,000048.SZ,19,19,19,19,400,7600,0,0,201905221452.951996,201905221452.951996
2019-05-22 14:53:00,000048.SZ,19,19,19,19,1500,28500,0,0,201905221453.951996,201905221453.951996
2019-05-22 14:54:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:55:00,000048.SZ,19,19,19,19,600,11400,0,0,201905221455.951996,201905221455.951996
2019-05-22 14:56:00,000048.SZ,18.97,18.97,18.97,18.97,600,11382,-0.03,-0.001579,201905221456.951996,201905221456.951996
2019-05-22 14:57:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:58:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:59:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 15:00:00,000048.SZ,19,19,19,19,200,3800,0.03,0.001581,201905221500.951996,201905221500.951996
2019-05-23 09:30:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
